key,tag,category,subsystem,weight,include
amenity,hospital,health,health,5,1
amenity,clinic,health,health,4,1
amenity,doctors,health,health,3,1
amenity,dentist,health,health,3,1
amenity,pharmacy,health,health,3,1
amenity,veterinary,health,health,2,1
amenity,nursing_home,health,health,3,1
amenity,doctors,health,health,3,1
amenity,townhall,governance,public,5,1
amenity,courthouse,governance,public,5,1
amenity,police,governance,public,4,1
amenity,fire_station,governance,public,4,1
amenity,post_office,governance,public,3,1
amenity,library,governance,culture,3,1
amenity,community_centre,governance,social,2,1
amenity,public_building,governance,public,2,1
amenity,school,education,education,3,1
amenity,kindergarten,education,education,3,1
amenity,college,education,education,4,1
amenity,university,education,education,5,1
amenity,language_school,education,education,2,1
amenity,driving_school,education,education,2,1
amenity,music_school,education,education,2,1
amenity,art_school,education,education,3,1
amenity,research_institute,education,science,4,1
amenity,bank,finance,finance,4,1
amenity,atm,finance,finance,2,1
amenity,bureau_de_change,finance,finance,2,1
amenity,money_transfer,finance,finance,2,1
amenity,restaurant,food,retail,3,1
amenity,cafe,food,retail,2,1
amenity,bar,food,retail,2,1
amenity,pub,food,retail,2,1
amenity,fast_food,food,retail,2,1
amenity,ice_cream,food,retail,2,1
amenity,canteen,food,retail,2,1
amenity,food_court,food,retail,3,1
amenity,bistro,food,retail,2,1
amenity,snackbar,food,retail,2,1
amenity,bus_station,transport,mobility,3,1
amenity,ferry_terminal,transport,mobility,3,1
amenity,taxi,transport,mobility,2,1
amenity,car_rental,transport,mobility,2,1
amenity,fuel,transport,mobility,2,1
amenity,charging_station,transport,mobility,2,1
amenity,bicycle_repair_station,transport,mobility,2,1
amenity,parking,transport,mobility,1,1
amenity,motorcycle_parking,transport,mobility,1,1
amenity,bicycle_parking,transport,mobility,1,1
shop,supermarket,retail,retail,3,1
shop,convenience,retail,retail,2,1
shop,kiosk,retail,retail,2,1
shop,variety_store,retail,retail,2,1
shop,department_store,retail,retail,4,1
shop,mall,retail,retail,4,1
shop,wholesale,retail,industrial,2,1
shop,marketplace,retail,retail,4,1
shop,general,retail,retail,2,1
shop,yes,retail,noise,0,0
shop,no,retail,noise,0,0
shop,bakery,food,retail,3,1
shop,butcher,food,retail,3,1
shop,greengrocer,food,retail,3,1
shop,cheese,food,retail,3,1
shop,seafood,food,retail,3,1
shop,deli,food,retail,3,1
shop,pastry,food,retail,2,1
shop,chocolate,food,retail,2,1
shop,coffee,food,retail,2,1
shop,tea,food,retail,2,1
shop,beverages,food,retail,2,1
shop,confectionery,food,retail,2,1
shop,frozen_food,food,retail,2,1
shop,grocery,food,retail,3,1
shop,nuts,food,retail,2,1
shop,spices,food,retail,2,1
shop,honey,food,retail,2,1
shop,dairy,food,retail,2,1
shop,car,goods,durable,5,1
shop,car_repair,goods,service,3,1
shop,car_parts,goods,service,3,1
shop,motorcycle,goods,durable,4,1
shop,bicycle,goods,durable,4,1
shop,electronics,goods,durable,4,1
shop,computer,goods,durable,4,1
shop,telecommunication,goods,durable,3,1
shop,furniture,goods,durable,4,1
shop,houseware,goods,durable,3,1
shop,kitchenware,goods,durable,3,1
shop,hardware,goods,durable,3,1
shop,tools,goods,durable,4,1
shop,power_tools,goods,durable,4,1
shop,garden_centre,goods,durable,4,1
shop,doityourself,goods,durable,4,1
shop,appliance,goods,durable,4,1
shop,lighting,goods,durable,3,1
shop,paint,goods,durable,2,1
shop,tiles,goods,durable,3,1
shop,carpet,goods,durable,3,1
shop,doors,goods,durable,3,1
shop,windows,goods,durable,3,1
shop,glass,goods,durable,3,1
shop,interior_decoration,goods,durable,3,1
shop,bathroom_furnishing,goods,durable,3,1
shop,clothes,fashion,retail,3,1
shop,shoes,fashion,retail,3,1
shop,boutique,fashion,retail,4,1
shop,tailor,fashion,service,2,1
shop,beauty,fashion,service,2,1
shop,cosmetics,fashion,retail,2,1
shop,perfume,fashion,retail,2,1
shop,jewelry,fashion,retail,4,1
shop,watches,fashion,retail,4,1
shop,bag,fashion,retail,3,1
shop,fashion_accessories,fashion,retail,3,1
shop,hairdresser,fashion,service,2,1
shop,wigs,fashion,retail,2,1
shop,textiles,fashion,retail,2,1
shop,fabric,fashion,retail,2,1
shop,caravan,goods,durable,4,1
shop,motorhome,goods,durable,4,1
shop,boat,goods,durable,4,1
shop,carpet,goods,durable,3,1
shop,antiques,goods,luxury,4,1
shop,art,goods,luxury,4,1
shop,collectibles,goods,luxury,3,1
shop,video_games,goods,entertainment,3,1
shop,musical_instrument,goods,luxury,4,1
shop,photo,goods,durable,3,1
shop,printing,goods,service,3,1
shop,copyshop,goods,service,2,1
shop,travel_agency,goods,service,4,1
shop,estate_agent,goods,service,4,1
shop,auction,goods,service,4,1
shop,security,goods,service,2,1
shop,tool_hire,goods,service,3,1
shop,rental,goods,service,2,1
shop,repair,goods,service,2,1
leisure,park,leisure,leisure,3,1
leisure,playground,leisure,leisure,3,1
leisure,sports_centre,leisure,leisure,4,1
leisure,fitness_centre,leisure,leisure,3,1
leisure,swimming_pool,leisure,leisure,4,1
leisure,stadium,leisure,leisure,4,1
leisure,sports_hall,leisure,leisure,3,1
leisure,pitch,leisure,leisure,2,1
leisure,garden,leisure,leisure,1,1
leisure,track,leisure,leisure,2,1
leisure,dog_park,leisure,leisure,2,1
leisure,miniature_golf,leisure,leisure,3,1
leisure,bowling_alley,leisure,leisure,3,1
leisure,sauna,leisure,leisure,3,1
leisure,spa,leisure,leisure,4,1
leisure,bandstand,leisure,leisure,3,1
leisure,dance,leisure,leisure,2,1
tourism,hotel,tourism,accommodation,4,1
tourism,hostel,tourism,accommodation,4,1
tourism,guest_house,tourism,accommodation,4,1
tourism,motel,tourism,accommodation,4,1
tourism,apartment,tourism,accommodation,4,1
tourism,camp_site,tourism,accommodation,4,1
tourism,caravan_site,tourism,accommodation,4,1
tourism,alpine_hut,tourism,accommodation,4,1
tourism,wilderness_hut,tourism,accommodation,4,1
tourism,museum,tourism,culture,5,1
tourism,zoo,tourism,culture,5,1
tourism,aquarium,tourism,culture,5,1
tourism,theme_park,tourism,culture,5,1
tourism,attraction,tourism,culture,3,1
tourism,gallery,tourism,culture,4,1
tourism,viewpoint,tourism,nature,5,1
tourism,information,tourism,service,3,1
*,*,unknown,default,2,1
