stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,platform_code,level_id
000008001774,NA,Emmerich(Gr),NA,51.901194,6.137652,0,NA,0,NA,NA
000008003155,NA,Venlo(Gr),NA,51.340892,6.192712,0,NA,0,NA,NA
000008070018,NA,Kalenborn(Westerw),NA,50.615535,7.312721,0,NA,0,NA,NA
000008070368,NA,Kempenich Engeln Bf,NA,50.424945,7.156853,0,NA,0,NA,NA
000008071034,NA,Brohl Rheinanlagen,NA,50.487299,7.327933,0,NA,0,NA,NA
000008071651,NA,Brenk,NA,50.432442,7.168888,0,NA,0,NA,NA
000008075938,NA,Köln KD,NA,50.938557,6.963353,0,NA,0,NA,NA
000008075939,NA,Porz(Rhein) KD,NA,50.884677,7.053755,0,NA,0,NA,NA
000008075940,NA,Wesseling KD,NA,50.826616,6.984172,0,NA,0,NA,NA
000008075941,NA,Bonn KD,NA,50.733367,7.10987,0,NA,0,NA,NA
000008075942,NA,Bonn-Bad Godesberg KD,NA,50.691198,7.171608,0,NA,0,NA,NA
000008075944,NA,Bad Honnef(Rhein) KD,NA,50.642163,7.214108,0,NA,0,NA,NA
000008075945,NA,Unkel KD,NA,50.601023,7.215072,0,NA,0,NA,NA
000008075946,NA,Remagen KD,NA,50.579485,7.233495,0,NA,0,NA,NA
000008075947,NA,Linz(Rhein) KD,NA,50.565419,7.277715,0,NA,0,NA,NA
000008075952,NA,Koblenz KD,NA,50.361031,7.605357,0,NA,0,NA,NA
000008075954,NA,Oberlahnstein KD,NA,50.298894,7.603151,0,NA,0,NA,NA
000008075956,NA,Braubach KD,NA,50.271802,7.643566,0,NA,0,NA,NA
000008075957,NA,Boppard KD,NA,50.233152,7.592937,0,NA,0,NA,NA
000008075958,NA,Kamp-Bornhofen KD,NA,50.225746,7.617318,0,NA,0,NA,NA
000008075959,NA,Bad Salzig KD,NA,50.207622,7.634403,0,NA,0,NA,NA
000008075960,NA,St Goarshausen KD,NA,50.153684,7.716466,0,NA,0,NA,NA
000008075961,NA,St Goar KD,NA,50.151043,7.715878,0,NA,0,NA,NA
000008075962,NA,Oberwesel KD,NA,50.10867,7.727499,0,NA,0,NA,NA
000008075963,NA,Kaub KD,NA,50.088387,7.759352,0,NA,0,NA,NA
000008075964,NA,"Bacharach, Schiffsanleger K-D",NA,50.056895,7.771431,0,NA,0,NA,NA
000008075968,NA,"Bingen, Brücke 5",NA,49.97028,7.896752,0,NA,0,NA,NA
000008400043,NA,Eygelshoven Markt,NA,50.896067,6.057597,0,NA,0,NA,NA
000008400220,NA,Vise(fr),NA,50.758791,5.703064,0,NA,0,NA,NA
000008400307,NA,Heerlen,NA,50.890693,5.975844,0,NA,0,NA,NA
000008400548,NA,Landgraaf,NA,50.89653,6.019863,0,NA,0,NA,NA
000010676901,NA,"Asbach, Realschule Plus,Asbach (Wied)",NA,50.665657,7.428645,0,NA,0,NA,NA
000010676902,NA,"Asbach, Realschule Plus,Asbach (Wied)",NA,50.665645,7.42896,0,NA,0,NA,NA
000010785701,NA,Neustadt (Wied) Ev. Kirche,NA,50.623947,7.427307,0,NA,0,NA,NA
000010785702,NA,Neustadt (Wied) Ev. Kirche,NA,50.62466,7.427603,0,NA,0,NA,NA
000012222902_G,NA,Dülken Bahnhof,NA,51.257576,6.337237,0,NA,0,NA,NA
000012222903,NA,Dülken Bahnhof,NA,51.257576,6.337237,0,NA,0,NA,NA
000011675901,NA,Friesenhagen Schule,NA,50.904759,7.808651,0,NA,0,NA,NA
000016095901,NA,Friesenhagen Altenhofen,NA,50.864005,7.799793,0,NA,0,NA,NA
000016096001,NA,Friesenhagen Hohhäuschen,NA,50.862134,7.808318,0,NA,0,NA,NA
000016097301,NA,Friesenhagen Gösingerhütte,NA,50.886027,7.791565,0,NA,0,NA,NA
000016097302,NA,Friesenhagen Gösingerhütte,NA,50.885948,7.791493,0,NA,0,NA,NA
000016097401,NA,Friesenhagen Hammer,NA,50.877225,7.784073,0,NA,0,NA,NA
000016097402,NA,Friesenhagen Hammer,NA,50.877152,7.783848,0,NA,0,NA,NA
000016097801,NA,Friesenhagen Helmert,NA,50.866755,7.760366,0,NA,0,NA,NA
000016097802,NA,Friesenhagen Helmert,NA,50.866738,7.760546,0,NA,0,NA,NA
000016098101,NA,Friesenhagen Höferhof,NA,50.86853,7.767562,0,NA,0,NA,NA
000016098102,NA,Friesenhagen Höferhof,NA,50.86849,7.767355,0,NA,0,NA,NA
000016098401,NA,Friesenhagen Abzw. Schloss Crottorf,NA,50.901995,7.791232,0,NA,0,NA,NA
000016098402,NA,Friesenhagen Abzw. Schloss Crottorf,NA,50.901949,7.791079,0,NA,0,NA,NA
000016098701,NA,Friesenhagen Sommerhardt,NA,50.872362,7.776599,0,NA,0,NA,NA
