ART,GN,KN,STAND,KN7stellig
G,Waldfeucht,05370032,2023-06-12,5370032
G,Gummersbach,05374012,2023-06-12,5374012
G,Geilenkirchen,05370012,2023-06-12,5370012
G,Hennef (Sieg),05382020,2023-06-12,5382020
G,Aachen,05334002,2023-06-12,5334002
G,Siegburg,05382060,2023-06-12,5382060
G,Bad Honnef,05382008,2023-06-12,5382008
G,Odenthal,05378020,2023-06-12,5378020
G,Titz,05358056,2023-06-12,5358056
G,Köln,05315000,2023-06-12,5315000
G,Alfter,05382004,2023-06-12,5382004
G,Lohmar,05382028,2023-06-12,5382028
G,Gangelt,05370008,2023-06-12,5370008
G,Frechen,05362024,2023-06-12,5362024
G,Hürtgenwald,05358016,2023-06-12,5358016
G,Simmerath,05334028,2023-06-12,5334028
G,Aldenhoven,05358004,2023-06-12,5358004
G,Ruppichteroth,05382052,2023-06-12,5382052
G,Bergisch Gladbach,05378004,2023-06-12,5378004
G,Monschau,05334020,2023-06-12,5334020
G,Nümbrecht,05374032,2023-06-12,5374032
G,Heimbach,05358012,2023-06-12,5358012
G,Swisttal,05382064,2023-06-12,5382064
G,Kerpen,05362032,2023-06-12,5362032
G,Niederkassel,05382044,2023-06-12,5382044
G,Radevormwald,05374036,2023-06-12,5374036
G,Roetgen,05334024,2023-06-12,5334024
G,Erkelenz,05370004,2023-06-12,5370004
G,Bergheim,05362008,2023-06-12,5362008
G,Kall,05366024,2023-06-12,5366024
G,Neunkirchen-Seelscheid,05382040,2023-06-12,5382040
G,Kürten,05378012,2023-06-12,5378012
G,Wassenberg,05370036,2023-06-12,5370036
G,Elsdorf,05362016,2023-06-12,5362016
G,Troisdorf,05382068,2023-06-12,5382068
G,Alsdorf,05334004,2023-06-12,5334004
G,Hellenthal,05366020,2023-06-12,5366020
G,Düren,05358008,2023-06-12,5358008
G,Jülich,05358024,2023-06-12,5358024
G,Bad Münstereifel,05366004,2023-06-12,5366004
G,Mechernich,05366028,2023-06-12,5366028
G,Weilerswist,05366040,2023-06-12,5366040
G,Morsbach,05374028,2023-06-12,5374028
G,Overath,05378024,2023-06-12,5378024
G,Windeck,05382076,2023-06-12,5382076
G,Wipperfürth,05374052,2023-06-12,5374052
G,Rösrath,05378028,2023-06-12,5378028
G,Langerwehe,05358032,2023-06-12,5358032
G,Pulheim,05362036,2023-06-12,5362036
G,Eschweiler,05334012,2023-06-12,5334012
G,Hückeswagen,05374016,2023-06-12,5374016
G,Inden,05358020,2023-06-12,5358020
G,Wiehl,05374048,2023-06-12,5374048
G,Blankenheim,05366008,2023-06-12,5366008
G,Bornheim,05382012,2023-06-12,5382012
G,Marienheide,05374024,2023-06-12,5374024
G,Nideggen,05358044,2023-06-12,5358044
G,Zülpich,05366044,2023-06-12,5366044
G,Merzenich,05358040,2023-06-12,5358040
G,Wesseling,05362040,2023-06-12,5362040
G,Heinsberg,05370016,2023-06-12,5370016
G,Burscheid,05378008,2023-06-12,5378008
G,Schleiden,05366036,2023-06-12,5366036
G,Nörvenich,05358052,2023-06-12,5358052
G,Leichlingen (Rhld.),05378016,2023-06-12,5378016
G,Wermelskirchen,05378032,2023-06-12,5378032
G,Bedburg,05362004,2023-06-12,5362004
G,Meckenheim,05382032,2023-06-12,5382032
G,Vettweiß,05358060,2023-06-12,5358060
G,Euskirchen,05366016,2023-06-12,5366016
G,Rheinbach,05382048,2023-06-12,5382048
G,Königswinter,05382024,2023-06-12,5382024
G,Erftstadt,05362020,2023-06-12,5362020
G,Eitorf,05382016,2023-06-12,5382016
G,Reichshof,05374040,2023-06-12,5374040
G,Leverkusen,05316000,2023-06-12,5316000
G,Baesweiler,05334008,2023-06-12,5334008
G,Dahlem,05366012,2023-06-12,5366012
G,Waldbröl,05374044,2023-06-12,5374044
G,Übach-Palenberg,05370028,2023-06-12,5370028
G,Linnich,05358036,2023-06-12,5358036
G,Engelskirchen,05374008,2023-06-12,5374008
G,Hückelhoven,05370020,2023-06-12,5370020
G,Herzogenrath,05334016,2023-06-12,5334016
G,Much,05382036,2023-06-12,5382036
G,Bonn,05314000,2023-06-12,5314000
G,Bergneustadt,05374004,2023-06-12,5374004
G,Lindlar,05374020,2023-06-12,5374020
G,Wachtberg,05382072,2023-06-12,5382072
G,Kreuzau,05358028,2023-06-12,5358028
G,Selfkant,05370024,2023-06-12,5370024
G,Hürth,05362028,2023-06-12,5362028
G,Nettersheim,05366032,2023-06-12,5366032
G,Brühl,05362012,2023-06-12,5362012
G,Würselen,05334036,2023-06-12,5334036
G,Sankt Augustin,05382056,2023-06-12,5382056
G,Stolberg (Rhld.),05334032,2023-06-12,5334032
G,Wegberg,05370040,2023-06-12,5370040
G,Niederzier,05358048,2023-06-12,5358048
